Disease	Genes count	Genes percentage	Fold change	P-value	FDR	Gene symbols	Entrez Gene IDs	PMIDs
HIV Infections	7	0.0333333333333333	0.314211483502208	1.000e+00	1.68571428571429	CD4|CDK9|IPO5|PRKACB|MAPK1|PDIA6|KPNA6	920|1025|3843|5567|5594|10130|23633	1381399,1491632,1605591,1685857,1690236,1697332,1698911,1701782,1706342,1871120,1888898,1967280,1971526,1977427,1983967,2078408,2107024,2341717,7521897,7543271,7615007,7692037,7692087,7734186,7914230,8125527,8437224,8524869,8547064,8621941,8627018,8671590,8760413,8794361,8794362,8801439,8811050,8862276,8871625,8995609,9226175,9349472,9426451,9445013,9637477,9653051,9780207,10235509,10375525,10375528,10738970,10774549,10875613,10888615,11075952,11201791,11312658,11356967,11396948,11413305,11413337,11414813,11504923,11533181,11602785,11799176,11861874,11878912,11884536,11920312,12091904,12134256,12145207,12218051,12406507,12531788,12586555,12639247,12646791,12646921,12702212,12719560,12734410,12769725,12816953,12836198,14557624,14557639,14576059,14585209,14624372,14965316,14990703,15016849,15078178,15090827,15194762,15194768,15215692,15258189,15279586,15279589,15321703,15371410,15577644,15748900,15778371,15784911,15821887,15854903,15857992,15956589,15964018,15990565,16002156,16035946,16046522,16091223,16106369,16148047,16174727,16185162,16227248,16309726,16310238,16354571,16437164,16454711,16515489,16551265,16611055,16611063,16702010,16725045,16736946,16775320,16777164,16855325,16873261,16886053,16912071,16956948,17005819,17014923,17030448,17079307,17084877,17090209,17121788,17132727,17151103,17157668,17158233,17213291,17239419,17328229,17329339,17409160,17409164,17413690,17599917,17628860,17632570,17825297,18045112,18078954,18167642,18187620,18205925,18296630,18310503,18390744,18468560,18473783,18541215,18624812,18672082,18691022,18691028,18713475,18725938,18789977,18833294,18837996,18976462,18976975,19066282,19180463,19208751,19301975,19324886,19333378,19366992,19439470,19457995,19493998,19553323,19643141,19692474,19837465,19851458,19895210,19933330,20007245,20041213,20132229,20186035,20195464,20357769,20369301,20377425,20380698,20420669,20442859,20458450,20463063,20507591,20616233,20638642,20697919,20826747,20860805,20924289,20953943,21041720,21068257,21146497,21159865,21165790,21176220,21209878,21226626,2124923|9356449,10377393,10661406,14984439,15169877,15183343,15473004,15498776,18976462,19275730,19526283,19732026,20018238,20551309,20828615,21149631,22100159,22190034,22211660,22229121,22342181,22355797,22421880,22422068,23007159,23247501,23330719,23518577,23539624,23658523,23827503,24204263,27193293,27783955,27799305|1631159,9275210,10525473,11278458,11389849|19895210,20402410,21651489,21745501,24189052|9223324,10074203,10982368,11504923,12734410,15371627,15857981,17411366,18160848,19287189,19622906,20056088,20056178,20402410,20566577,20842205,21567396,21651489,21745501,21821233,22028271,22039051,22123847,22407921,22479424,22904195,23317503,23535064,24469921,24586397,25011556,25121610,25704763,26992429|12218051,18187620,20458450,22190034,22230366|1631159,9275210,9303297,10525473,10964507,11278458,11389849,22174317
Lymphatic Metastasis	5	0.0238095238095238	0.270124184758331	1.000e+00	1.63888888888889	DAPK1|MUC2|NTRK2|MTA1|CHFR	1612|4583|4915|9112|55743	12082610,18799028,20471512,21302620,22490855,25496179,26213212|16475027,17991319,19119477,20485009,22752373,23179399,23464473|17674765,19170129,20156366,21999199,22322843,22490895,22886570,24321270|11804687,12684630,15095300,16646402,20661085,21240515,21290196,21448429,21949998,22547301,22575258,22844865,23283219,23618874,23866297,25301048,25688501,26543080,26698569,27035126,28739699|12376479,20109344,21302620,23415374,24748501
Colonic Neoplasms	5	0.0238095238095238	0.267365256223195	1.000e+00	1.59459459459459	DAPK1|ELAVL1|MUC2|MAPK1|CHFR	1612|1994|4583|5594|55743	12792765,20630662,23438478,25619834,25852190,25963636,26405175|14562043,17132932,18094611,18427544,21310943,22095636,22544606,24865968,25010987,28242812|1550588,9722984,12077118,12848848,14678781,15240568,16285957,16552339,17509526,17991319,19119477,19201396,20198339,22116730,22752373,23464457,24840470|10197981,10910078,10993892,12177807,12972603,15037631,15078890,15655348,15757891,16027724,16278684,16611738,17631144,18086662,18256791,19782465,19930715,20190562,21088106,21424124,21625939,22076613,22865467,23357054,24691442,24752576,25253956,25852190,27391062|14654793,15201973,15760919,18335050,21551253
Neoplasm Metastasis	7	0.0333333333333333	0.262456597222222	1.000e+00	1.55263157894737	AR|LIMK1|NTRK2|MAPK1|MTA1|TET1|MUC16	367|3984|4915|5594|9112|80312|94025	7723794,10706109,11803263,17034507,17178887,17321486,17476687,17540719,18174258,18324648,18794357,18958349,19257827,20644256,21359179,22819717,23010705,23326489,23410945,23443946,23536722,23539448,23609189,23704919,23982944,24244276,25135278,25712683,25822367,26305549,26342197,26364608,26928463,27191887,27233475,27249694,27363033,27384477,27409172,27683182,27693493,27702818,27977328,28060723,28178391,28220803,28957377|12821664,16381000,20047470,20133759,23239465,24063279,25190487,25661344,27665963|15329723,17008023,17616679,18201274,19087522,20156366,21379385,22343487,23332094,24549576,24853179,24959744,24982195,26515594,26657794|16813525,17550972,19152186,19930715,20072648,20226009,21349701,21454057,21765462,22526456,22927430,24119769,25189770,25855378,25959126,26117268,27395339,27403934,27876502|7607577,8083195,10967548,11948399,12650603,14735193,16502042,16969516,17868030,19703393,20717904,21617866,22139444,22176993,24424621,24853685,25315816,25332145,25352341,25359583,25998575,26028330,26503703,26968810,27048111,27323185,27583980,28288133|23716660,24507562,25089631,26376879,26931431,27121319,28661477|14676194,17852076,21421261,21893498,22066010,22159147,24722639,25205731,25691062
Stomach Neoplasms	6	0.0285714285714286	0.262172122263169	1.000e+00	1.51282051282051	DAPK1|EGR1|MUC2|MAPK1|CHFR|TET1	1612|1958|4583|5594|55743|80312	15809761,19695681,21152877,21302620,21979297,22160140,26810771|12456801,12553019,20372793,20403028,22095683,22918686,23121767,23755764,24011795,24384380,27677186|12490305,16447040,16552339,16733847,18000536,18300795,18825309,19815850,20718712,20878553,22402132,22691042,23464473,24901817,27277677,27835575|11278335,12883725,15882975,17889508,18570890,18715846,19020743,19032445,19858308,20087064,22672288,23644655,24789460,24929539,25150310,25374165,25398317,25652124,25655003,25962735,26612919,26695150,26781754,28061458,29550487|14695171,15201973,18763281,19469003,20082478,20109344,20300977,21302620,21409489,22337872,24748501|22320381,24507562,24804542,27121319,28923852
Colorectal Neoplasms	7	0.0333333333333333	0.25924973204716	1.000e+00	1.475	ELAVL1|MUC2|NTRK2|MAPK1|MAPRE1|CHFR|TET1	1994|4583|4915|5594|22919|55743|80312	10629032,12821781,14981256,19009247,22049153,24189637,26386386,28219770,28428272,28968471|11813869,12820725,15000151,16142311,17321686,20198318,20485009,20731025,20865330,20929551,21605079,21618511,23179399,23807779,27298226|21379385,21966426,22361863,22842573,23332094,24549576,24801982,25382057|17149612,17410437,18069631,19686845,20811717,21826244,22864777,23183114,23644655,23867993,24378749,24735981,25128071,25561793,26267535,26514924,26879318,27036313,27369075,28247965,28376477|7606712,22277732,22735596,24492008,26342024|12538348,17201143,18079053,23873170,24928946|22320381,26063725,27846738,27977763,28249902
Cell Transformation, Neoplastic	7	0.0333333333333333	0.243732365981459	1.000e+00	1.4390243902439	ATF2|DAPK1|ELAVL1|PPP2R1A|MAPK1|RALB|MTA1	1386|1612|1994|5518|5594|5899|9112	12118074,17254968,17258390,17875713,18348191,20956942,25456131|12082610,14504087,17683884,20630662,21497122,23438478,24337450,26191186|14562043,17132932,18427544,20102719,21343335,22095636,24534848,27075229,28790173|17245430,17540176,17632056,21075311,21159657,22948661,25438055|7499408,10197981,10490027,12050114,12441075,12792650,12972619,15757891,16286470,17631144,18069631,18086662,18204439,19364816,19802003,19917255,20019835,20167130,20974803,21336309,21415216,21807114,22345558,25120769,28007785|12856001,12874025,17018283,17174914,23830877,25210032,27269287|11146623,16172399,17922032,20651739,23417673,25332143
Carcinoma, Squamous Cell	6	0.0285714285714286	0.223363191430418	1.000e+00	1.4047619047619	COL7A1|DAPK1|ELAVL1|MAPK1|MTA1|CHFR	1294|1612|1994|5594|9112|55743	10232408,15774758,17495952,18331784,19435799,24357722,26476432|12082610,16142356,17592394,17868341,18799028,19148529,20360646,20704749,21115918,21516484,22490852,22490855,23494221,23804521,25496179,26213212,27286455,28249042|17581403,18027256,19420963,19671677,20960565,21572400,21795698,23852810,23873103,27941336,28371600|14997206,15247230,16273204,16283431,16865246,17634019,17879163,18284542,19484147,19628422,19751964,20103886,20811691,21205837,21606674,21680106,21896986,21960346,22658382,22828925,23674093,23709326,24789704,24966948,25120769,25265753,25884419,26176534,26992219,27004400,27028853,27466485|11948399,15095300,16646402,18640824,21240515,21290196,22270988,22547301,24424621,24853685,25301048,27035126,28739699|12376479,17786301,18623126,19584075,19787237,20942233
Inflammation	5	0.0238095238095238	0.192868306063216	1.000e+00	1.37209302325581	C3|CD36|IRAK1|MAPK1|FSTL1	718|948|3654|5594|11167	16809564,17051160,17322907,17498719,18039528,18682851,18755462,18974840,19028820,20105310,20603037,21270401,21435440,21801245,23056509,23580065,23619360,23661701,24005838,24516199,25188723,25299043,25848071,25907631,28278205,28573137,28576324|8467233,19864601,20037584,20684828,21250778,21454644,22558273,22890011,23119050,25713983,27461004,28619997|14752294,16024789,16203735,16951688,17548806,17997719,19026643,19104650,19181383,20542134,20619458,20937840,22904187,23396947,25922567,26673132,27338330,27497395|12690113,14766231,16200835,16539678,17512500,17519976,17602748,18182379,18276593,18424783,18535203,19091959,19850087,20538278,20849923,21388279,21715333,21768115,21899882,22407921,22866973,23207287,23538858,24382347,24874739,25016365,25913664,26415877,26707272,27173611,28178421,28364380,28373581|23251661,24347831,24838142,25584011,27145224,27569284
Adenocarcinoma	6	0.0285714285714286	0.190486690817452	1.000e+00	1.34090909090909	CASP10|DAPK1|ELAVL1|MUC2|MAPK1|MTA1	843|1612|1994|4583|5594|9112	18716417,20025484,20402676,20453000,20661084,23921907|18799028,19521987,19695681,20360646,20630662,20704749,20811724,22136354,22552543,25852190|12933794,19009247,19420963,20587520,21572400,23394580,23572284,23722602,25010987,25252849,26314962,26362587,27215092,27588488,28242812|1550588,12527922,15000151,16142311,16188033,17401217,17991319,18038313,18301248,18825309,20485009,20718712,20865330,21647207,21700631,22261707,22691042,23179399,24290360|12093745,12643788,12894225,14997206,16027724,16395709,16574793,16820947,17504381,17889508,18069631,18570890,18715846,19433314,19445727,19956840,20086178,21143918,21164364,21680106,22546605,22658382,22672288,22696230,23357054,23569008,23674093,24789460,25253956,25852190,25896662,26514924,26705127,26872057,28624624|7607577,8083195,14735193,18719363,20661085,21290196,21835429,22575258,23371285,23866297,24853685,25688501,27574100
Prostatic Neoplasms	6	0.0285714285714286	0.183020581113801	1.000e+00	1.31111111111111	AR|EGR1|LIMK1|MAPK1|MTA1|ELAC2	367|1958|3984|5594|9112|60528	1540595,1562539,1631125,2260966,2380187,7511268,7591265,7626493,7712463,7723794,8145761,8187068,8274409,8292051,8530589,8628719,8643607,8827083,9000575,9016528,9096391,9184448,9211894,9438000,9636157,9675141,9813067,9816170,9822653,9892017,10075738,10318905,10363963,10569618,10598582,10629558,10706109,10734072,10809237,10835690,10840043,10930412,10961928,10987273,11016951,11032808,11071847,11085509,11103816,11155740,11156376,11266437,11278309,11322786,11404460,11439351,11509567,11550169,11571725,11585838,11595700,11673464,11707452,11720249,11747336,11751884,11792709,11803263,11847524,11856748,11906285,11927493,11935317,11967956,11971763,11994312,12015328,12083956,12101115,12119296,12140757,12161010,12163482,12165860,12189490,12202660,12218053,12226080,12230620,12376473,12376504,12394768,12465595,12482965,12514133,12534934,12559985,12569365,12573820,12586762,12602915,12606125,12629350,12632109,12651911,12682292,12750453,12799378,12860943,12890669,12941811,12941817,12944908,12949936,12972618,14517289,14585317,14612401,14662770,14663470,14691592,14695896,14713779,14743468,14744796,14966121,14966297,14981536,14985354,15013685,15042597,15061984,15062556,15123687,15129430,15131260,15156193,15178691,15205473,15256534,15264247,15288768,15305378,15310009,15328534,15350307,15361837,15368471,15378650,15389799,15466214,15479493,15514032,15533905,15534116,15539430,15542435,15557561,15558026,15563469,15570555,15572661,15583694,15585562,15599941,15617028,15630701,15640154,15661808,15665279,15711606,15731171,15743818,15754350,15774258,15784617,15790678,15809670,15810021,15824176,15827323,15833816,15887248,15894683,15900601,15919721,15948728,15952987,16027218,16039774,16079795,16120611,16123086,16161052,16166078,16166332,16254899,16278385,16282370,16365032,16373395,16384856,16425097,16437189,16449965,16461912,16469706,16474850,16479009,16494870,16601069,16705072,16774685,16835890,16847812,16859836,16865726,16914734,16921507,16923962,16951154,16969502,16969583,16980632,17003774,17010601,17011549,17015840,17034507,17043241,17055455|12065847,12890669,14985468,15225550,15486985,15709168,16382041,17448597,19032775,19276347,19837667,19885607,20190820,20945384,21336263,21617851,21743958,22115966,22127986,23178451,23715767,24190424,25031707,25224321|12777619,12821664,18424072,21219645,25344584,25359780|10318905,12643788,12894225,12972603,17068343,17295209,17469127,17531530,17695723,18311544,18787043,19147767,19151763,19926313,20190820,20203690,20335309,21076047,21871886,22791812,23424616,23538858,23620784,24619413,25845399,26346167,27665471,28279977,28876465|14871807,20717904,21837953,23227138,23831020,23900262,25332143,25797255,26943043,28231399|10986046,11175785,11254448,11254449,11431329,11507049,11522646,12373607,12384782,12522685,12552947,12569551,12711671,12783937,12949798,14504198,14625808,14719475,15368467,15593091,15714208,15824169,16114055,16636667,18375959,18767027,20086112,20119870,20231859,27318894
Liver Neoplasms	6	0.0285714285714286	0.180440134278254	1.000e+00	1.28260869565217	ELAVL1|PER1|MAPK1|SND1|TRIB2|TET1	1994|5187|5594|27044|28951|80312	20000738,20102719,22095636,22921787,23814050,24719890,25449213,25678597,25841271,28035067|18444243,19675098,21380491,25344870,27492458|12592382,15040022,15225643,16039586,17038630,17701086,18003605,18519678,19082453,20386571,21205481,21349701,22222560,22241220,22475145,22543708,23397142,23845703,24199952,24204846,24735981,25230705,25874498,26299326,26336134,26767647,28077802,28557972|22396537,23878061,25494629,26323317,26997225,27238764,28428278|23769673,24089522,24211582,25311538,27515988|23671639,25367851,25824049,26376879,28661477
Lung Neoplasms	7	0.0333333333333333	0.173539962691921	1.000e+00	1.25531914893617	CASP10|DAPK1|IREB2|NTRK2|MAPK1|MTA1|CHFR	843|1612|3658|4915|5594|9112|55743	12037669,14688482,18676680,19170196,19826114,20025484,20661084,22843554|11809677,12792765,15634757,17209433,17477876,18349282,19506903,19521987,19795445,20360646,20704749,21287504,23175185,25848215,28231808|18582596,20405006,20587604,22093897,25117307,26310313,28404645|16862449,18293376,20156366,21242122,21379385,22906736,23656788,24658140,24959744,24982195,25512530,28604655,28870922|14997206,15210690,16581800,16820947,17015027,17510316,18424438,19082454,19152186,19199380,19956840,20038816,20226009,21164364,21415216,21444628,21551235,21680106,21713404,21765462,21959954,21960346,22546605,22564243,22696230,23012423,23306155,23549785,23674093,23806693,23923067,24300974,24657659,24778252,24789704,25374165,25631750,25738359,25896662,26046675,26705127,26872057,27085460,27403934,28007785,28100259,28396364|11804687,17914590,19403384,20661085,20935042,21892752,22576802,23718732,24853685,25502548,25998575,26689197,26698569,26797758,27506865,29061215|11948416,12538348,14612512,18623126,20473935,22337872,23386692,23415374,25828518,26356822
Pancreatic Neoplasms	3	0.0142857142857143	0.166446462978255	1.000e+00	1.22916666666667	ELAVL1|MUC2|MUC16	1994|4583|94025	21152064,24536047,24618665,26314962,26362587,26675757,27415424,28242812,28687616,28965949|11893907,12527922,15048136,16552339,16721789,21441843,21647207,24280573,24714692|21775916,22066010,22159147,22220206,22320398,22542127,23544943,24204560,25458668,25691062,26046375,26329844,27230679,28108627
Carcinoma, Hepatocellular	5	0.0238095238095238	0.160867251928704	1.000e+00	1.20408163265306	APOB|EGR1|MAPK1|ZNF148|SND1	338|1958|5594|7707|27044	9548923,11333259,12670940,15254032,15308631,15618547,15867268,16156669,16203724,17233885,18925970,21800051,25502789,26680362|11925592,12947119,15910736,18215136,19526316,21743491,22912725,25108236,26936374|11409918,12592382,15040022,15225643,16039586,17526808,17701086,18003605,18519678,19082453,19632304,19816934,19816936,20386571,21205481,21349701,22222560,22241220,22475145,22543708,23397142,23845703,24199952,24204846,25230705,25874498,26299326,26336134,26767647,28077802,28557972|12759240,19362768,22214764,22372401,23954442|22396537,23878061,25494629,26323317,26997225,27238764,28428278
Skin Neoplasms	2	0.00952380952380952	0.158433221982053	1.000e+00	1.18	COL7A1|ATF2	1294|1386	15774758,17495952,19435799,24357722,26476432|17254968,18677098,18700251,22685333,27210757
Neoplasm Recurrence, Local	2	0.00952380952380952	0.156071751193702	1.000e+00	1.15686274509804	MTA1|MUC16	9112|94025	12684630,14871807,16244788,18306220,22844865,23866297,23900262,25797255,26543080,27574100|17300679,18503158,18555706,18820245,21344262,21836488,22528792,22941175,23669443,23886210,24651630,25344872,25978292,26531723,27407100,28284216,29187468,29463191
Alzheimer Disease	3	0.0142857142857143	0.155649935649936	1.000e+00	1.13461538461538	CR1|DAPK1|TMEM106B	1378|1612|54664	19734903,20534741,20554627,20558149,20558387,20674675,20697030,21300948,21347408,21358043,21391232,21403675,21460840,21460841,21726919,21784344,22015308,22244847,22262751,22343410,22402018,22539578,22819390,22952074,22960360,23022416,23202439,23582656,23643458,23650005,24162737,24530172,24878768,24996192,24998857,26189835,26742530,26914463,28477215|16847012,18336955,18813964,18830724,19627511,20413850,20534741,20574532,21167819,21311567,22785394,24853415,27094130,28429084|21220649,24166182,24252750,24899141,25114081,25470345,28441426
Esophageal Neoplasms	2	0.00952380952380952	0.154813108038915	1.000e+00	1.11320754716981	EGR1|MTA1	1958|9112	11819815,11925592,12439908,14966901,19435811|15095300,21661415,22270988,22547301,24424621,27035126,28739699
Breast Neoplasms	9	0.0428571428571429	0.1520429116205	1.000e+00	1.09259259259259	AR|CBFA2T3|ATF2|ELAVL1|FANCD2|LIMK1|MAPK1|MTA1|TOPBP1	367|863|1386|1994|2177|3984|5594|9112|11073	1303262,2380187,8281139,11085509,11437399,11861380,12036913,12089361,12124798,12161010,12161011,12404104,12582022,12602902,12712467,12771131,12779088,14504193,14973115,15545219,15598771,15772083,16046054,16166078,16317584,16365023,16647340,16791593,16920725,16987421,17187234,17334586,17413000,17465263,17728127,17855696,17904846,18187183,18521741,18562955,19022849,19094228,19147544,19533338,19739075,19898421,19921427,20127405,20353269,20431938,20439495,20507730,20534771,20634197,20831839,20846920,21107681,21159020,21166701,21211271,21215164,21264529,21310761,21519872,21528410,21532617,21552212,21701558,21741601,21837479,22021428,22039288,22321971,22471922,22494987,22508765,22590818,22719059,22745190,22982153,23010705,23023562,23377847,23392859,24172884,24324816,24356815,24403250,24552459,24570075,24596370,24703723,24897063,24951107,25178514,25178713,25347744,25471060,25781993,25904752,25907805,25979597,26076967,26219822,26247526,26339363,26345963,26406407,26541420,26554309,26902145,27026268,27514395,27565181,27959398,27992601,28060723,28151718,28272969,28957377,29187427,29187464|12183414,12213200,16966434,18456661,27572702|10066798,11836564,12663670,16303757,17258390,18677098,19331149,20511396,25141981,26729199,28618963,28904175|12431987,15328200,15514971,16289864,16912169,18408768,18641687,18769129,19010922,19151756,19728080,19875930,20370918,20626035,20724828,21273615,21503589,22436134,22907529,23401122,23605320,24036660,24189637,24260469,24954509,25383675,25830480,27197265,27221739,28501005,28637868,28731284|16679306,17333336,17643815,18950845,19536649,19671671,19714462,19748364,20363922,20496165,20556575,22293751,22987153,23063585,23357080,23897704,24104479,25652403,27373334|12777619,16278681,16381000,16763828,20133759,20347121,21682918,23239465|10066798,10866661,11960991,12093745,12105188,12408764,12576423,12972603,14620918,15735702,15782123,15928662,16039586,16291755,16705745,16813525,16897432,17550972,18204439,18245228,18266953,18296648,18710790,19184415,19385051,19833733,20093341,20174585,20359813,20508983,20735841,20837468,20889557,20956553,21266192,21607585,21655091,22117074,22293503,22328529,22584435,22927430,23250869,23265704,23618859,23674093,24166600,24342355,24657659,24927687,25085753,25122124,25167778,25189770,25319474,25605020,25866182,25903973,25953087,26253279,26774343,27076520,27358402,27791265,27876502,27941878,28007894,28230290|7607577,10967548,11146623,12167865,12639951,12650603,15077195,16244788,16288053,16502042,16617102,16855396,17922035,18196870,19703393,20682799,20697987,20710043,21595884,22270359,22575258,22864797,24265228,24413532,26028330,27026268,27583980,28504714|12810625,16930991,17448016,17616665,19289498,21108795,22544570,22708334,23277395,23819404
Cardiovascular Diseases	2	0.00952380952380952	0.151354733746324	1.000e+00	1.07272727272727	APOB|CELSR2	338|1952	11341749,11359462,11568510,11575217,12082592,12691171,12942366,14746139,15186963,16389549,16544732,16545386,17484618,18262040,18354102,18387362,18658047,18701171,18728123,19200547,19689828,19766218,19860767,19913121,20368199,20370913,20383777,20539018,20972250,21122858,21356116,21404224,21943158,22760866,23247145,23320904,23446247,23973688,24069429,24254975,24362231,24680324,24854276,25159728,25238218,25539881,25614280,25911082,25913481,25959453,26842615,28799493|18179892,18262040,19913121,20370913,20442857,21943158
Diabetes Mellitus, Type 2	3	0.0142857142857143	0.130887445887446	1.000e+00	1.05357142857143	APOB|CD36|NUCB2	338|948|4925	11869298,14763605,15186963,15904989,16419488,16525840,16634094,17299378,17337758,17462654,17463246,18632179,18684539,19479237,20059992,20466372,20536507,20628086,21356116,21497351,22341868,22407494,22762727,22985435,23053881,23446247,24254975,24797048,25562991,25818853,26025476,26291068,26515419,26561616,27210509,28391908,28428224|12479587,12618277,12716760,12732844,15132977,15221799,16911630,16952981,19156623,19190027,20139232,20416077,20628086,20966915,21250778,21262584,21808142,22113854,22869067,23844572,24069322,25555908,25565374,25619588,27912197|20032201,20628086,22020667,22108805,23765387,23768444,25841171,27539099
Melanoma	2	0.00952380952380952	0.118255597927056	1.000e+00	1.03508771929825	ATF2|MAPK1	1386|5594	14678960,18677098,21203491,22275354,22304920,23589174,26462148,26645581,27210757|12140374,12821662,12917419,15210734,15721302,16242072,18070930,18508762,18509361,19588500,19917255,21084381,21454057,22277029,22751131,23222305,23317503,24183461,24813998,25341684,25374165
Disease Progression	3	0.0142857142857143	0.0738024043449075	1.000e+00	1.01724137931034	AR|C3|CD4	367|718|920	9822653,11747336,12542725,12606125,14517289,15129430,15264247,15376484,15630701,16039774,16161052,16278385,16384856,16791593,17034507,17108144,17494760,17727679,17997416,18084330,18187183,18196538,18413735,18451096,18471792,18673534,18977589,19244107,19282387,20308360,20338164,20388792,20478527,20831839,21099110,21248069,21410629,21681193,22007000,22064655,22095517,22282656,22426480,22821817,22885105,22982153,23088973,23320115,23410127,23443946,23600948,23604126,23658830,23704919,23786771,23814488,24054868,24329492,24507681,24574517,24647988,24742458,24972028,25088980,25109335,25215939,25228652,25631336,25759396,25796113,26249023,26304926,26305679,26378044,26397136,26404510,26552477,26560244,26709083,26805759,26808578,26829214,26885620,27109471,27120785,27226492,27276681,27340775,27350136,27363033,27403927,27409172,27534968,27565181,27602760,27683182,27725309,27743893,27784708,27902483,27977328,28011482,28055971,28151478,28444169,28472366,28475016,28598253,28819028|19015224,19797206,19823576,20139773,20381870,21566112,22246034,22456601,22792353,22930722,23134230,24178974,24557084,25889427,26542163,26914454,26986539,27257040|11075952,11413305,12134256,14557639,15063762,15078178,17042973,17252589,19596013,19798410,20012528,20377425,20924289,21557772,21760891,21902583,22017399,22103838,22378925,22783935,23185351,23202514,23215766,23840566,24158961,24416431,24418543,25979195
Neoplasms	2	0.00952380952380952	0.0333278218694885	1.000e+00	1	PFKFB3|OGT	5209|8473	10077634,10508479,12384552,16115917,19473963,23548149,24295899,24633012,26337471,27491040|22923583,23642195,24703950,25147182,25332235,25416956,26416890
